,Case,Date,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
1,1,1/29/2007,Pigeon Point,37.1829,122.3928,n,Orange,10,30,0.6,Farallones Marine Sanctuary Association
2,2,1/29/2007,Pigeon Point,37.1829,122.3928,n,Purple,73,30,4.39,Farallones Marine Sanctuary Association
3,3,3/17/2007,Pigeon Point,37.1829,122.3928,n,Orange,10,30,0.6,Farallones Marine Sanctuary Association
4,4,3/17/2007,Pigeon Point,37.1829,122.3928,n,Purple,25,30,1.5,Farallones Marine Sanctuary Association
5,5,3/24/2007,Natural Bridges,36.9502,122.0576,y,Orange,18,15,0.33,Center for Advanced Research and Technology (CART)
6,6,3/24/2007,Natural Bridges,36.9502,122.0576,y,Orange,20,15,0.37,Center for Advanced Research and Technology (CART)
7,7,3/24/2007,Natural Bridges,36.9502,122.0576,y,Orange,12,15,0.22,Center for Advanced Research and Technology (CART)
8,8,3/24/2007,Natural Bridges,36.9502,122.0576,y,Orange,6,15,0.11,Center for Advanced Research and Technology (CART)
9,9,3/24/2007,Natural Bridges,36.9502,122.0576,y,Purple,47,15,0.87,Center for Advanced Research and Technology (CART)
10,10,3/24/2007,Natural Bridges,36.9502,122.0576,y,Purple,36,15,0.67,Center for Advanced Research and Technology (CART)
11,11,3/24/2007,Natural Bridges,36.9502,122.0576,y,Purple,34,15,0.63,Center for Advanced Research and Technology (CART)
12,12,3/24/2007,Pigeon Point,37.1829,122.3928,y,Purple,45,15,0.83,Center for Advanced Research and Technology (CART)
13,13,5/24/2007,Pigeon Point,37.1829,122.3928,n,Orange,6,20,0.36,Farallones Marine Sanctuary Association
14,14,5/4/2007,Pigeon Point,37.1829,122.3928,n,Purple,23,20,1.38,Farallones Marine Sanctuary Association
15,15,7/4/2007,Pigeon Point,37.1829,122.3928,n,Orange,8,73,0.48,Farallones Marine Sanctuary Association
16,16,7/10/2007,Pigeon Point,37.1829,122.3928,n,Purple,54,73,3.25,Farallones Marine Sanctuary Association
17,17,12/10/2007,Pigeon Point,37.1829,122.3928,n,Orange,9,20,0.54,Pescadero HS
18,18,12/22/2007,Pigeon Point,37.1829,122.3928,n,Purple,43,20,2.59,Pescadero HS
19,19,1/22/2008,Pigeon Point,37.1829,122.3928,n,Orange,9,30,0.54,Farallones Marine Sanctuary Association
20,20,1/13/2008,Pigeon Point,37.1829,122.3928,n,Purple,27,30,2.59,Farallones Marine Sanctuary Association
21,21,3/13/2008,Pigeon Point,37.1829,122.3928,n,Orange,10,25,0.54,Pescadero HS
22,22,3/9/2008,Pigeon Point,37.1829,122.3928,n,Purple,21,25,1.62,Pescadero HS
23,23,12/9/2008,Pillar Point,37.503,122.4823,y,Orange,9,30,0.6,Farallones Marine Sanctuary Association
24,24,12/22/2008,Pillar Point,37.503,122.4823,y,Purple,48,30,1.26,Farallones Marine Sanctuary Association
25,25,1/22/2009,Pigeon Point,37.1829,122.3928,n,Orange,7,30,0.69,Farallones Marine Sanctuary Association
26,26,1/6/2009,Pigeon Point,37.1829,122.3928,n,Purple,21,30,3.68,Farallones Marine Sanctuary Association
27,27,3/6/2009,Pigeon Point,37.1829,122.3928,n,Orange,4,20,0.42,Pescadero HS
28,28,3/7/2009,Pigeon Point,37.1829,122.3928,n,Purple,33,20,1.26,Pescadero HS
29,29,3/7/2009,Natural Bridges,36.9502,122.0576,y,Orange,19,150,0.24,Center for Advanced Research and Technology (CART)
30,30,3/7/2009,Natural Bridges,36.9502,122.0576,y,Orange,34,147,1.98,Center for Advanced Research and Technology (CART)
31,31,3/7/2009,Natural Bridges,36.9502,122.0576,y,Orange,5,180,0.35,Center for Advanced Research and Technology (CART)
32,32,3/7/2009,Natural Bridges,36.9502,122.0576,y,Orange,8,153,0.63,Center for Advanced Research and Technology (CART)
33,33,3/7/2009,Natural Bridges,36.9502,122.0576,y,Purple,22,180,0.09,Center for Advanced Research and Technology (CART)
34,34,3/7/2009,Natural Bridges,36.9502,122.0576,y,Purple,41,153,0.15,Center for Advanced Research and Technology (CART)
35,35,3/7/2009,Natural Bridges,36.9502,122.0576,y,Purple,43,150,0.41,Center for Advanced Research and Technology (CART)
36,36,3/7/2009,Natural Bridges,36.9502,122.0576,y,Purple,30,147,0.76,Center for Advanced Research and Technology (CART)
37,37,4/4/2009,Natural Bridges,36.9502,122.0576,y,Orange,62,45,0.8,Center for Advanced Research and Technology (CART)
38,38,4/4/2009,Natural Bridges,36.9502,122.0576,y,Purple,122,45,0.56,Center for Advanced Research and Technology (CART)
39,39,5/26/2009,Pillar Point,37.503,122.4823,y,Orange,7,7,1.15,UCSC
40,40,5/26/2009,Pillar Point,37.503,122.4823,y,Purple,13,7,2.26,UCSC
41,41,6/26/2009,Davenport Landing,37.2364,86.92,n,Purple,23,0,0.54,Lick Wilmerding HS
42,42,6/26/2009,Davenport Landing,37.2364,86.92,n,Orange,11,0,1.46,Lick Wilmerding HS
43,43,12/2/2009,Natural Bridges,36.9502,122.0576,y,Orange,89,30,2.9,UCSC
44,44,12/2/2009,Natural Bridges,36.9502,122.0576,y,Purple,269,30,1.1,UCSC
45,45,12/5/2009,Natural Bridges,36.9502,122.0576,y,Orange,55,19,1.65,Pacific Collegiate School
46,46,12/5/2009,Natural Bridges,36.9502,122.0576,y,Purple,218,19,4.98,Pacific Collegiate School
47,47,1/27/2010,Pillar Point,37.503,122.4823,y,Orange,21,30,1.02,Pacific Collegiate School
