Case,Year,Month,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
1,2007,Jan,Pigeon Point,37.1829,-122.3928,n,Orange,10,30,0.6,Farallones Marine Sanctuary Association
2,2007,Jan,Pigeon Point,37.1829,-122.3928,n,Purple,73,30,4.39,Farallones Marine Sanctuary Association
3,2007,Mar,Pigeon Point,37.1829,-122.3928,n,Orange,10,30,0.6,Farallones Marine Sanctuary Association
4,2007,Mar,Pigeon Point,37.1829,-122.3928,n,Purple,25,30,1.5,Farallones Marine Sanctuary Association
5,2007,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,18,15,0.33,Center for Advanced Research and Technology (CART)
6,2007,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,20,15,0.37,Center for Advanced Research and Technology (CART)
7,2007,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,12,15,0.22,Center for Advanced Research and Technology (CART)
8,2007,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,6,15,0.11,Center for Advanced Research and Technology (CART)
9,2007,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,47,15,0.87,Center for Advanced Research and Technology (CART)
10,2007,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,36,15,0.67,Center for Advanced Research and Technology (CART)
11,2007,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,34,15,0.63,Center for Advanced Research and Technology (CART)
12,2007,Mar,Pigeon Point,37.1829,-122.3928,y,Purple,45,15,0.83,Center for Advanced Research and Technology (CART)
13,2007,May,Pigeon Point,37.1829,-122.3928,n,Orange,6,20,0.36,Farallones Marine Sanctuary Association
14,2007,May,Pigeon Point,37.1829,-122.3928,n,Purple,23,20,1.38,Farallones Marine Sanctuary Association
15,2007,Jul,Pigeon Point,37.1829,-122.3928,n,Orange,8,73,0.48,Farallones Marine Sanctuary Association
16,2007,Jul,Pigeon Point,37.1829,-122.3928,n,Purple,54,73,3.25,Farallones Marine Sanctuary Association
17,2007,Dec,Pigeon Point,37.1829,-122.3928,n,Orange,9,20,0.54,Pescadero HS
18,2007,Dec,Pigeon Point,37.1829,-122.3928,n,Purple,43,20,2.59,Pescadero HS
19,2008,Jan,Pigeon Point,37.1829,-122.3928,n,Orange,9,30,0.54,Farallones Marine Sanctuary Association
20,2008,Jan,Pigeon Point,37.1829,-122.3928,n,Purple,27,30,2.59,Farallones Marine Sanctuary Association
21,2008,Mar,Pigeon Point,37.1829,-122.3928,n,Orange,10,25,0.54,Pescadero HS
22,2008,Mar,Pigeon Point,37.1829,-122.3928,n,Purple,21,25,1.62,Pescadero HS
23,2008,Dec,Pillar Point,37.503,-122.4823,y,Orange,9,30,0.6,Farallones Marine Sanctuary Association
24,2008,Dec,Pillar Point,37.503,-122.4823,y,Purple,48,30,1.26,Farallones Marine Sanctuary Association
25,2009,Jan,Pigeon Point,37.1829,-122.3928,n,Orange,7,30,0.69,Farallones Marine Sanctuary Association
26,2009,Jan,Pigeon Point,37.1829,-122.3928,n,Purple,21,30,3.68,Farallones Marine Sanctuary Association
27,2009,Mar,Pigeon Point,37.1829,-122.3928,n,Orange,4,20,0.42,Pescadero HS
28,2009,Mar,Pigeon Point,37.1829,-122.3928,n,Purple,33,20,1.26,Pescadero HS
29,2009,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,19,150,0.24,Center for Advanced Research and Technology (CART)
30,2009,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,34,147,1.98,Center for Advanced Research and Technology (CART)
31,2009,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,5,180,0.35,Center for Advanced Research and Technology (CART)
32,2009,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,8,153,0.63,Center for Advanced Research and Technology (CART)
33,2009,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,22,180,0.09,Center for Advanced Research and Technology (CART)
34,2009,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,41,153,0.15,Center for Advanced Research and Technology (CART)
35,2009,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,43,150,0.41,Center for Advanced Research and Technology (CART)
36,2009,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,30,147,0.76,Center for Advanced Research and Technology (CART)
37,2009,Apr,Natural Bridges,36.9502,-122.0576,y,Orange,62,45,0.8,Center for Advanced Research and Technology (CART)
38,2009,Apr,Natural Bridges,36.9502,-122.0576,y,Purple,122,45,0.56,Center for Advanced Research and Technology (CART)
39,2009,May,Pillar Point,37.503,-122.4823,y,Orange,7,7,1.15,UCSC
40,2009,May,Pillar Point,37.503,-122.4823,y,Purple,13,7,2.26,UCSC
41,2009,Jun,Davenport Landing,37.0248,-122.2156,n,Purple,23,0,0.54,Lick Wilmerding HS
42,2009,Jun,Davenport Landing,37.0248,-122.2156,n,Orange,11,0,1.46,Lick Wilmerding HS
43,2009,Dec,Natural Bridges,36.9502,-122.0576,y,Orange,89,30,2.9,UCSC
44,2009,Dec,Natural Bridges,36.9502,-122.0576,y,Purple,269,30,1.1,UCSC
45,2009,Dec,Natural Bridges,36.9502,-122.0576,y,Orange,55,19,1.65,Pacific Collegiate School
46,2009,Dec,Natural Bridges,36.9502,-122.0576,y,Purple,218,19,4.98,Pacific Collegiate School
47,2010,Jan,Pillar Point,37.503,-122.4823,y,Orange,21,30,1.02,Pacific Collegiate School
48,2010,Jan,Pillar Point,37.503,-122.4823,y,Purple,66,30,4.04,Pacific Collegiate School
49,2010,Jan,Pigeon Point,37.1829,-122.3928,n,Orange,9,20,1.61,Farallones Marine Sanctuary Association
50,2010,Jan,Pigeon Point,37.1829,-122.3928,n,Purple,45,20,5.06,Farallones Marine Sanctuary Association
51,2010,Mar,Natural Bridges,36.9502,-122.0576,y,Orange,30,60,0.54,Farallones Marine Sanctuary Association
52,2010,Mar,Natural Bridges,36.9502,-122.0576,y,Purple,96,60,1.94,Farallones Marine Sanctuary Association
53,2010,Mar,Pigeon Point,37.1829,-122.3928,n,Orange,7,15,0.77,Center for Advanced Research and Technology (CART)
54,2010,Mar,Pigeon Point,37.1829,-122.3928,n,Purple,25,15,2.84,Center for Advanced Research and Technology (CART)
55,2010,Apr,Natural Bridges,36.9502,-122.0576,y,Orange,29,30,0.06,Pescadero HS
56,2010,Apr,Natural Bridges,36.9502,-122.0576,y,Purple,105,30,1.08,Pescadero HS
57,2010,May,Pillar Point,37.503,-122.4823,y,Orange,10,50,0.12,UCSC
58,2010,May,Pillar Point,37.503,-122.4823,y,Purple,37,50,0.9,UCSC
59,2010,May,Pigeon Point,37.1829,-122.3928,n,Orange,1,30,1.1,The Urban School
60,2010,May,Pigeon Point,37.1829,-122.3928,n,Purple,18,30,0.03,The Urban School
61,2010,Jun,Pigeon Point,37.1829,-122.3928,n,Orange,2,20,2.1,International School of the Peninsula
62,2010,Jun,Pigeon Point,37.1829,-122.3928,n,Purple,15,20,0.6,International School of the Peninsula
63,2010,Jul,Davenport Landing,37.0248,-122.2156,n,Purple,11,5,2.9,James Logan High School
64,2010,Jul,Davenport Landing,37.0248,-122.2156,n,Orange,3,5,1.4,James Logan High School
65,2010,Aug,Davenport Landing,37.0248,-122.2156,n,Purple,21,5,0.54,UCSC
66,2010,Aug,Davenport Landing,37.0248,-122.2156,n,Orange,6,5,3.75,UCSC
67,2010,Aug,Davenport Landing,37.0248,-122.2156,n,Purple,29,5,2.1,UCSC
